id,question,content,training_data_type
00713bf4-aef0-5f04-b8ce-81a5c04c52f7-sql,Find all invoices since 2010 and the total amount invoiced:,"SELECT InvoiceDate, SUM(Total) AS TotalAmount 
FROM invoices
WHERE InvoiceDate >= '2010-01-01'
GROUP BY InvoiceDate",sql
06f334ac-d0ae-5cf0-a9b5-2e260c988cf7-sql,List all employees and their reporting manager's name (if any):,"SELECT e.FirstName, e.LastName,  
       CASE WHEN e.ReportsTo IS NULL THEN 'None' ELSE 
             (SELECT f.FirstName || ' ' || f.LastName 
              FROM employees f 
              WHERE f.EmployeeId = e.ReportsTo) END AS ReportingManager
FROM employees e",sql
08cbdebe-9011-543a-98fc-8b944459d8e6-sql,Get all playlists containing at least 10 tracks and the total duration of those tracks:,"SELECT p.Name, SUM(t.Milliseconds) AS TotalDuration 
FROM playlists p
JOIN playlist_track pt ON p.PlaylistId = pt.PlaylistId
JOIN tracks t ON pt.TrackId = t.TrackId
GROUP BY p.Name
HAVING COUNT(pt.TrackId) >= 10",sql
1e821f80-5144-5b11-98b2-ac27afd0c5ac-sql,"Find all tracks with a name containing ""What"" (case-insensitive) ","SELECT * 
FROM tracks
WHERE LOWER(Name) LIKE '%what%'",sql
2924d0bf-4982-584b-b739-6b2d2cb18903-sql,"      
        Find the top 5 customers who bought the most albums in total quantity (across all invoices):
        Hint: album quantity is found in invoice_items, 
    ","SELECT c.FirstName, 
       c.LastName,
       SUM(ii.Quantity) AS TotalAlbumQuantity
FROM customers c
JOIN invoice_items ii ON c.CustomerId = ii.InvoiceId
WHERE ii.TrackId IN (SELECT TrackId FROM tracks WHERE MediaTypeId = 1)
GROUP BY c.FirstName, c.LastName
ORDER BY TotalAlbumQuantity DESC
LIMIT 5",sql
50e8346e-e521-51be-bba2-ac3abf4edbfe-sql,"  
         Find the top 5 customers who spent the most money overall,  
         Hint: order total can be found on invoices table, calculation using invoice_items detail table is unnecessary 
    ","SELECT c.FirstName, 
       c.LastName,
       SUM(i.Total) AS TotalSpent
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.FirstName, c.LastName
ORDER BY TotalSpent DESC
LIMIT 5",sql
626acb31-8537-51cd-b232-00cd26f6b6f7-sql,List all invoices with a total exceeding $10,"SELECT * 
FROM invoices
WHERE Total > 10",sql
69533644-e0aa-5cf0-b0d5-3bb9a35867d1-sql,Find the customer with the most invoices ,"SELECT c.FirstName, 
       c.LastName,
       COUNT(i.InvoiceId) AS TotalInvoices
FROM customers c
JOIN invoices i ON c.CustomerId = i.CustomerId
GROUP BY c.FirstName, c.LastName
ORDER BY TotalInvoices DESC
LIMIT 1",sql
808bd5e5-fd75-519e-8b68-64fe2d596093-sql, Get the average invoice total for each customer:,"SELECT customers.FirstName, 
       customers.LastName,
       AVG(invoices.Total) AS AverageInvoiceTotal
FROM customers
JOIN invoices ON customers.CustomerId = invoices.CustomerId
GROUP BY customers.FirstName, customers.LastName",sql
85787a9d-fb26-507f-9c90-647e361db087-sql,Get the total number of invoices for each customer,"SELECT customers.FirstName, customers.LastName, COUNT(invoices.InvoiceId) AS TotalInvoices
FROM customers
JOIN invoices ON customers.CustomerId = invoices.CustomerId
GROUP BY customers.FirstName, customers.LastName",sql
